month,store_id,total_txns,bnpl_txns,bnpl_adoption_rate
Jan 2023,BR01,174,72,41.37931034482759
Jan 2023,BR02,25,4,16.0
Jan 2023,BR03,32,9,28.125
Jan 2023,BR04,21,7,33.33333333333333
Jan 2023,BR05,43,9,20.930232558139537
Jan 2023,BR06,51,0,0.0
Jan 2023,BR07,29,9,31.03448275862069
Jan 2023,BR08,24,0,0.0
Jan 2023,BR09,27,4,14.814814814814813
Jan 2023,BR10,27,6,22.22222222222222
Feb 2023,BR01,163,78,47.85276073619632
Feb 2023,BR02,26,6,23.076923076923077
Feb 2023,BR03,27,5,18.51851851851852
Feb 2023,BR04,34,1,2.941176470588235
Feb 2023,BR05,23,4,17.391304347826086
Feb 2023,BR06,32,1,3.125
Feb 2023,BR07,53,6,11.320754716981133
Feb 2023,BR08,21,0,0.0
Feb 2023,BR09,57,6,10.526315789473683
Feb 2023,BR10,38,6,15.789473684210526
Mar 2023,BR01,185,80,43.24324324324324
Mar 2023,BR02,17,3,17.647058823529413
Mar 2023,BR03,16,7,43.75
Mar 2023,BR04,38,10,26.31578947368421
Mar 2023,BR05,18,2,11.11111111111111
Mar 2023,BR06,36,2,5.555555555555555
Mar 2023,BR07,38,0,0.0
Mar 2023,BR08,36,2,5.555555555555555
Mar 2023,BR09,30,0,0.0
Mar 2023,BR10,16,3,18.75
Apr 2023,BR01,190,87,45.78947368421053
Apr 2023,BR02,35,2,5.714285714285714
Apr 2023,BR03,20,0,0.0
Apr 2023,BR04,24,0,0.0
Apr 2023,BR05,34,0,0.0
Apr 2023,BR06,28,7,25.0
Apr 2023,BR07,34,0,0.0
Apr 2023,BR08,33,18,54.54545454545454
Apr 2023,BR09,26,6,23.076923076923077
Apr 2023,BR10,35,11,31.428571428571427
May 2023,BR01,204,96,47.05882352941176
May 2023,BR02,38,4,10.526315789473683
May 2023,BR03,44,16,36.36363636363637
May 2023,BR04,42,0,0.0
May 2023,BR05,39,8,20.51282051282051
May 2023,BR06,16,0,0.0
May 2023,BR07,21,0,0.0
May 2023,BR08,11,0,0.0
May 2023,BR09,23,0,0.0
May 2023,BR10,23,1,4.3478260869565215
Jun 2023,BR01,155,80,51.61290322580645
Jun 2023,BR02,27,4,14.814814814814813
Jun 2023,BR03,32,3,9.375
Jun 2023,BR04,32,10,31.25
Jun 2023,BR05,22,1,4.545454545454546
Jun 2023,BR06,13,6,46.15384615384615
Jun 2023,BR07,41,6,14.634146341463413
Jun 2023,BR08,64,19,29.6875
Jun 2023,BR09,19,0,0.0
Jun 2023,BR10,23,5,21.73913043478261
Jul 2023,BR01,141,70,49.645390070921984
Jul 2023,BR02,29,8,27.586206896551722
Jul 2023,BR03,29,0,0.0
