customer_id,segment_name,segment_description,total_spent,total_transactions,avg_quantity_per_transaction,recency_days,num_returns,avg_sentiment_score,is_churned,customer_age,customer_gender,customer_location_region,assigned_year
CUST0591,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",4104443.84,7,1.84,75,5,0.5,0,68,Male,Kisumu,2023
CUST0063,Promising,Newer customers with high initial engagement or spending potential.,1379524.05,4,1.38,63,2,1.0,0,23,Female,Kisumu,2023
CUST0512,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1766003.19,5,1.62,88,3,0.6,0,20,Male,Nakuru,2023
CUST0715,Loyal,"Consistent purchasers, frequent interactions.",3898365.83,6,1.83,136,2,1.0,0,31,Other,Mombasa,2023
CUST0518,Promising,Newer customers with high initial engagement or spending potential.,3371567.73,7,2.18,84,2,0.78,0,59,Other,Nakuru,2023
CUST0325,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2525469.29,5,1.37,45,5,1.0,1,62,Male,Nairobi,2023
CUST0751,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2203734.55,6,1.87,139,3,1.0,0,27,Male,Mombasa,2023
CUST0233,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2430795.77,4,2.15,216,1,1.0,1,73,Other,Mombasa,2023
CUST0249,Loyal,"Consistent purchasers, frequent interactions.",2846713.16,4,2.46,82,2,0.43,0,38,Female,Mombasa,2023
CUST0283,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1173401.2,4,2.25,150,2,0.56,0,20,Other,Mombasa,2023
CUST0995,Loyal,"Consistent purchasers, frequent interactions.",2922514.88,7,2.1,14,5,0.38,0,18,Male,Eldoret,2023
CUST0152,New,"Recently acquired customers, often with 1-2 purchases.",1211650.42,3,1.67,222,2,1.0,0,24,Other,Mombasa,2023
CUST0203,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1196040.65,4,1.56,221,1,0.6,0,42,Other,Mombasa,2023
CUST0997,High-Value,Customers with high total spending and frequent purchases.,2760928.94,8,1.61,23,3,0.67,1,22,Other,Nairobi,2023
CUST0959,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2204057.17,4,1.92,47,3,-0.33,0,71,Male,Nakuru,2023
CUST0647,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",870548.64,3,1.33,810,0,1.0,0,55,Other,Eldoret,2023
CUST0710,High-Value,Customers with high total spending and frequent purchases.,5790576.38,10,1.82,42,7,0.37,0,75,Other,Kisumu,2023
CUST0871,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",5366287.64,9,2.03,293,2,0.65,0,51,Male,Eldoret,2023
CUST0965,New,"Recently acquired customers, often with 1-2 purchases.",1304844.7,5,1.78,176,0,1.0,0,46,Male,Nakuru,2023
CUST0428,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2494237.05,7,1.68,111,6,-0.11,1,55,Other,Eldoret,2023
CUST0448,New,"Recently acquired customers, often with 1-2 purchases.",513947.09,2,2.17,259,2,0.33,0,73,Male,Mombasa,2023
CUST0311,New,"Recently acquired customers, often with 1-2 purchases.",1584172.76,3,1.82,2,4,0.33,0,73,Male,Nakuru,2023
CUST0042,Loyal,"Consistent purchasers, frequent interactions.",1979564.56,4,2.25,37,1,1.0,0,45,Other,Eldoret,2023
CUST0880,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",2923890.07,5,2.0,387,2,1.0,0,70,Male,Nairobi,2023
CUST0630,Promising,Newer customers with high initial engagement or spending potential.,1650493.93,3,1.7,70,0,0.6,0,34,Female,Mombasa,2023
CUST0081,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",210959.28,3,2.0,286,0,0.33,1,68,Male,Mombasa,2023
CUST0143,Promising,Newer customers with high initial engagement or spending potential.,1540699.79,4,1.6,40,1,0.5,0,75,Male,Nakuru,2023
CUST0833,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",3819261.69,5,1.95,205,4,1.0,1,66,Other,Nakuru,2023
CUST0886,Promising,Newer customers with high initial engagement or spending potential.,2590638.85,7,2.05,74,1,0.75,0,30,Male,Kisumu,2023
CUST0086,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",624275.14,2,1.83,272,0,1.0,0,24,Male,Nairobi,2023
CUST0054,New,"Recently acquired customers, often with 1-2 purchases.",3075316.5,6,1.86,248,2,0.43,1,43,Other,Kisumu,2023
CUST0319,Loyal,"Consistent purchasers, frequent interactions.",4550519.43,8,1.96,53,4,0.54,0,47,Other,Eldoret,2023
CUST0954,New,"Recently acquired customers, often with 1-2 purchases.",4300032.53,5,2.06,9,4,0.38,0,40,Female,Mombasa,2023
CUST0473,High-Value,Customers with high total spending and frequent purchases.,5422366.64,9,2.16,2,4,0.6,0,21,Female,Nakuru,2023
CUST0373,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",4809710.09,8,2.13,180,3,0.45,1,26,Other,Nakuru,2023
CUST0670,Churn Risk,"Customers showing signs of disengagement, high recency or returns.",1434885.32,4,2.08,387,2,1.0,0,25,Female,Eldoret,2023
CUST0016,High-Value,Customers with high total spending and frequent purchases.,4192823.63,7,2.16,11,4,0.71,0,51,Other,Nakuru,2023
