customer_id,product_id,journey_pattern,pattern_length_stages,duration_days,final_stage_reached,avg_campaign_opens,avg_campaign_clicks,conversion_flag_journey,avg_product_in_cart,pattern_year,success_rate_for_year
CUST0001,PROD005,Lead -> Awareness -> Consideration -> Purchase -> Service,5,23,Service,1.0,0.0,Yes,0.6,2023,0.6
CUST0001,PROD006,Lead,1,0,Lead,1.0,1.0,No,1.0,2023,0.6
CUST0001,PROD016,Lead -> Awareness -> Consideration,3,12,Consideration,1.0,0.0,No,0.67,2023,0.6
CUST0001,PROD024,Lead -> Awareness -> Consideration -> Purchase,4,44,Purchase,1.03,0.0,Yes,1.03,2024,0.63
CUST0001,PROD025,Lead,1,0,Lead,1.03,1.03,No,1.03,2024,0.63
CUST0001,PROD044,Lead -> Awareness,2,5,Awareness,1.0,0.0,No,1.0,2023,0.6
CUST0002,PROD011,Lead,1,0,Lead,0.0,0.0,No,1.0,2023,0.6
CUST0002,PROD014,Lead,1,0,Lead,1.03,0.0,No,1.03,2024,0.63
CUST0002,PROD036,Lead -> Awareness -> Consideration -> Purchase -> Service,5,55,Service,0.0,0.0,Yes,1.03,2024,0.63
CUST0002,PROD039,Lead -> Awareness -> Consideration -> Service -> Purchase -> Loyalty,6,49,Loyalty,1.0,1.0,Yes,0.67,2023,0.6
CUST0003,PROD003,Lead -> Awareness -> Consideration -> Purchase,4,39,Purchase,1.0,1.0,No,0.5,2023,0.6
CUST0003,PROD006,Lead,1,0,Lead,0.0,0.0,No,1.0,2023,0.6
CUST0003,PROD016,Lead -> Awareness -> Consideration,3,27,Consideration,1.0,1.0,No,0.67,2023,0.6
CUST0003,PROD018,Lead,1,0,Lead,1.03,0.0,No,1.03,2024,0.63
CUST0003,PROD023,Lead,1,0,Lead,1.0,0.0,No,0.0,2023,0.6
CUST0003,PROD031,Lead,1,0,Lead,1.03,1.03,No,0.0,2024,0.63
CUST0005,PROD001,Lead -> Awareness -> Consideration -> Loyalty -> Purchase -> Service -> Advocacy,7,90,Advocacy,0.0,0.0,Yes,0.88,2024,0.63
CUST0005,PROD040,Lead -> Awareness -> Consideration -> Service -> Purchase -> Loyalty -> Advocacy,7,54,Advocacy,1.0,0.0,Yes,0.71,2023,0.6
CUST0006,PROD026,Lead,1,0,Lead,1.03,0.0,No,1.03,2024,0.63
CUST0006,PROD037,Lead,1,0,Lead,1.0,0.0,No,1.0,2023,0.6
CUST0006,PROD041,Lead,1,0,Lead,1.03,1.03,No,1.03,2024,0.63
CUST0007,PROD001,Lead,1,0,Lead,1.0,0.0,No,0.0,2023,0.6
CUST0007,PROD011,Lead -> Awareness -> Consideration -> Purchase -> Service,5,44,Service,1.0,0.0,Yes,0.4,2023,0.6
CUST0007,PROD032,Lead -> Awareness -> Consideration,3,13,Consideration,1.03,0.0,No,0.69,2024,0.63
CUST0007,PROD035,Lead -> Awareness -> Consideration -> Purchase -> Service -> Loyalty,6,65,Loyalty,1.03,1.03,Yes,1.03,2024,0.63
CUST0008,PROD018,Lead -> Awareness,2,9,Awareness,0.0,0.0,No,0.52,2024,0.63
CUST0008,PROD049,Lead -> Awareness -> Consideration,3,29,Consideration,1.0,1.0,No,0.67,2023,0.6
CUST0009,PROD004,Lead -> Awareness -> Consideration -> Service -> Purchase -> Loyalty,6,70,Loyalty,0.0,0.0,Yes,0.67,2023,0.6
CUST0009,PROD009,Lead -> Awareness -> Consideration,3,21,Consideration,0.0,0.0,No,0.67,2023,0.6
CUST0009,PROD029,Lead,1,0,Lead,1.03,0.0,No,0.0,2024,0.63
CUST0009,PROD032,Lead,1,0,Lead,1.0,0.0,No,0.0,2023,0.6
CUST0009,PROD041,Lead -> Awareness -> Consideration -> Purchase,4,35,Purchase,1.0,0.0,No,0.0,2023,0.6
CUST0010,PROD006,Lead -> Awareness,2,13,Awareness,1.0,1.0,No,0.5,2023,0.6
CUST0010,PROD011,Lead -> Awareness,2,9,Awareness,1.0,0.0,No,0.5,2023,0.6
CUST0010,PROD035,Lead -> Awareness -> Purchase -> Consideration -> Advocacy -> Loyalty -> Service,7,51,Service,1.03,0.0,Yes,0.44,2024,0.63
CUST0010,PROD041,Lead,1,0,Lead,1.03,1.03,No,1.03,2024,0.63
CUST0010,PROD050,Lead -> Awareness,2,6,Awareness,1.03,0.0,No,1.03,2024,0.63
CUST0012,PROD017,Lead -> Awareness -> Consideration,3,24,Consideration,1.0,0.0,No,1.0,2023,0.6
CUST0012,PROD024,Lead -> Awareness -> Purchase -> Consideration -> Service -> Loyalty,6,49,Loyalty,1.03,0.0,Yes,0.52,2024,0.63
CUST0012,PROD029,Lead -> Awareness -> Purchase -> Loyalty -> Consideration -> Service,6,55,Service,1.0,0.0,Yes,0.67,2023,0.6
CUST0013,PROD018,Lead -> Consideration -> Awareness -> Purchase,4,36,Purchase,0.0,0.0,No,0.5,2023,0.6
CUST0013,PROD019,Lead -> Awareness,2,14,Awareness,1.03,1.03,No,1.03,2024,0.63
