journey_id,customer_id,product_id,product_name,product_category,channel_id,branch_id,latitude,longitude,social_media_platform,stage,stage_date,campaign_name,hashtags,campaign_open,campaign_click,conversion_flag,product_in_cart,offer_applied,offer_code,customer_age
db77b057-ba54-46ec-955f-5a5e49fc4a88,CUST0175,PROD047,Anker PowerBank,Mobile & Computing,Online,BR01,0.504831,35.263777,Google,sent,2023-01-09 19:13:00,SpringSavings,#electronics #innovate,Yes,No,No,No,No Offer,NO_OFFER,48
db77b057-ba54-46ec-955f-5a5e49fc4a88,CUST0175,PROD047,Anker PowerBank,Mobile & Computing,Online,BR01,0.504831,35.263777,Google,viewed,2023-01-23 12:50:00,SpringSavings,#electronics #innovate,Yes,No,No,No,No Offer,NO_OFFER,48
db77b057-ba54-46ec-955f-5a5e49fc4a88,CUST0175,PROD047,Anker PowerBank,Mobile & Computing,Online,BR01,0.504831,35.263777,Google,clicked,2023-01-29 15:19:00,SpringSavings,#electronics #innovate,Yes,Yes,No,No,No Offer,NO_OFFER,48
239fdab2-297a-4e10-8cff-7c512c23a5c3,CUST0759,PROD017,Samsung Galaxy Watch,Wearables & Accessories,In-Store,BR10,-4.038771,39.671734,YouTube,sent,2023-05-10 03:32:00,BackToSchoolTech,#gadgetreview #unboxing,Yes,No,No,No,No Offer,NO_OFFER,52
239fdab2-297a-4e10-8cff-7c512c23a5c3,CUST0759,PROD017,Samsung Galaxy Watch,Wearables & Accessories,In-Store,BR10,-4.038771,39.671734,YouTube,viewed,2023-05-19 12:52:00,BackToSchoolTech,#gadgetreview #unboxing,Yes,No,No,No,No Offer,NO_OFFER,52
4ad290cd-7d9e-4281-89ad-363e528b51e6,CUST0700,PROD012,Samsung Tab S9,Mobile & Computing,B2B,BR04,-0.295256,35.287839,Twitter,sent,2024-08-22 14:07:00,BackToSchoolTech,#electronics #innovate,Yes,No,No,No,No Offer,NO_OFFER,51
dd4bae83-79d1-4ccd-92ec-1ea9a49a55bf,CUST0768,PROD050,Razer DeathAdder,Mobile & Computing,Online,BR01,0.504831,35.263777,Google,sent,2023-03-23 15:14:00,WorkFromHomeEssentials,#innovate #techdeals #unboxing,Yes,No,No,No,No Offer,NO_OFFER,23
87f6773a-c856-4814-97b1-5bcf9d20a508,CUST0790,PROD012,Samsung Tab S9,Mobile & Computing,B2B,BR08,-0.679891,34.563285,Google,sent,2023-02-01 09:00:00,SpringSavings,#productlove #gadgetreview #newtech,Yes,No,No,No,No Offer,NO_OFFER,61
87f6773a-c856-4814-97b1-5bcf9d20a508,CUST0790,PROD012,Samsung Tab S9,Mobile & Computing,B2B,BR08,-0.679891,34.563285,Google,viewed,2023-02-08 22:29:00,SpringSavings,#productlove #gadgetreview #newtech,Yes,No,No,No,No Offer,NO_OFFER,61
faef34b7-4442-40a8-b8a4-714b2e0cf7cf,CUST0422,PROD022,Samsung QLED 65,Entertainment & Gaming,B2B,BR03,-1.377599,36.851364,Google,sent,2024-03-02 09:26:00,HolidayTechSale,#techdeals #electronics #productlove,Yes,No,No,No,No Offer,NO_OFFER,24
